[0.99  0.003 0.003 0.003]
162 	 [1.755 0.006 0.006 0.005]
163 	 [1.755 0.006 0.006 0.006]
164 	 [1.755 0.006 0.006 0.005]
165 	 [1.755 0.006 0.006 0.005]
166 	 [1.755 0.006 0.006 0.005]
167 	 [1.755 0.006 0.006 0.007]
168 	 [1.755 0.006 0.006 0.005]
169 	 [1.755 0.006 0.006 0.007]
170 	 [1.755 0.006 0.006 0.007]
171 	 [1.755 0.006 0.006 0.006]
172 	 [1.755 0.006 0.006 0.006]
173 	 [1.755 0.006 0.006 0.006]
174 	 [1.755 0.006 0.006 0.006]
175 	 [1.755 0.006 0.006 0.006]
176 	 [1.755 0.006 0.006 0.007]
177 	 [1.755 0.006 0.006 0.005]
178 	 [1.755 0.006 0.006 0.006]
179 	 [1.755 0.006 0.006 0.005]
180 	 [1.755 0.006 0.006 0.005]
181 	 [1.755 0.006 0.006 0.007]
182 	 [1.755 0.006 0.006 0.006]
183 	 [1.755 0.006 0.006 0.005]
184 	 [1.755 0.006 0.006 0.005]
185 	 [1.755 0.006 0.006 0.006]
186 	 [1.755 0.006 0.006 0.005]
187 	 [1.755 0.006 0.006 0.006]
188 	 [1.755 0.006 0.006 0.006]
189 	 [1.755 0.006 0.006 0.005]
190 	 [1.755 0.006 0.006 0.007]
191 	 [1.755 0.006 0.006 0.006]
192 	 [1.755 0.006 0.006 0.008]
193 	 [1.755 0.006 0.006 0.007]
194 	 [1.755 0.006 0.006 0.006]
195 	 [1.755 0.006 0.006 0.005]
196 	 [1.755 0.006 0.006 0.005]
197 	 [1.755 0.006 0.006 0.005]
198 	 [1.755 0.006 0.006 0.005]
199 	 [1.755 0.006 0.006 0.005]
200 	 [1.755 0.006 0.006 0.005]
201 	 [1.755 0.006 0.006 0.006]
202 	 [1.755 0.006 0.006 0.005]
203 	 [1.755 0.006 0.006 0.006]
204 	 [1.755 0.006 0.006 0.006]
205 	 [1.755 0.006 0.006 0.006]
206 	 [1.755 0.006 0.006 0.006]
207 	 [1.755 0.006 0.006 0.005]
208 	 [1.755 0.006 0.006 0.005]
209 	 [1.755 0.006 0.006 0.008]
210 	 [1.755 0.006 0.006 0.005]
211 	 [1.755 0.006 0.006 0.006]
212 	 [1.755 0.006 0.006 0.005]
213 	 [1.755 0.006 0.006 0.006]
214 	 [1.755 0.006 0.006 0.005]
215 	 [1.755 0.006 0.006 0.006]
216 	 [1.755 0.006 0.006 0.006]
217 	 [1.755 0.006 0.006 0.006]
218 	 [1.755 0.006 0.006 0.006]
219 	 [1.755 0.006 0.006 0.006]
220 	 [1.755 0.006 0.006 0.005]
221 	 [1.755 0.006 0.006 0.005]
222 	 [1.755 0.006 0.006 0.005]
223 	 [1.755 0.006 0.006 0.005]
224 	 [1.755 0.006 0.006 0.005]
225 	 [1.755 0.006 0.006 0.005]
226 	 [1.755 0.006 0.006 0.006]
227 	 [1.755 0.006 0.006 0.011]
228 	 [1.755 0.006 0.006 0.006]
229 	 [1.755 0.006 0.006 0.006]
230 	 [1.755 0.006 0.006 0.006]
231 	 [1.755 0.006 0.006 0.005]
232 	 [1.755 0.006 0.006 0.006]
233 	 [1.755 0.006 0.006 0.005]
234 	 [1.755 0.006 0.006 0.006]
235 	 [1.755 0.006 0.006 0.006]
236 	 [1.755 0.006 0.006 0.006]
237 	 [1.755 0.006 0.006 0.006]
238 	 [1.755 0.006 0.006 0.006]
239 	 [1.755 0.006 0.006 0.005]
240 	 [1.755 0.006 0.006 0.006]
241 	 [1.755 0.006 0.006 0.005]
242 	 [1.755 0.006 0.006 0.006]
243 	 [1.755 0.006 0.006 0.005]
244 	 [1.755 0.006 0.006 0.005]
245 	 [1.755 0.006 0.006 0.006]
246 	 [1.755 0.006 0.007 0.028]
247 	 [1.755 0.006 0.006 0.005]
248 	 [1.755 0.006 0.006 0.006]
249 	 [1.755 0.006 0.006 0.007]
250 	 [1.755 0.006 0.006 0.005]
251 	 [1.755 0.006 0.006 0.005]
252 	 [1.755 0.006 0.006 0.005]
253 	 [1.755 0.006 0.006 0.005]
254 	 [1.755 0.006 0.006 0.005]
255 	 [1.755 0.006 0.006 0.005]
256 	 [1.755 0.006 0.006 0.005]
257 	 [1.755 0.006 0.006 0.005]
258 	 [1.755 0.006 0.006 0.006]
259 	 [1.755 0.006 0.006 0.006]
260 	 [1.755 0.006 0.006 0.005]
261 	 [1.755 0.006 0.006 0.005]
262 	 [1.755 0.006 0.006 0.005]
263 	 [1.755 0.006 0.006 0.005]
264 	 [1.755 0.006 0.006 0.006]
265 	 [1.755 0.006 0.006 0.006]
266 	 [1.755 0.006 0.006 0.005]
267 	 [1.755 0.006 0.006 0.005]
268 	 [1.755 0.006 0.006 0.007]
269 	 [1.755 0.006 0.006 0.005]
270 	 [1.755 0.006 0.006 0.006]
271 	 [1.755 0.006 0.006 0.006]
272 	 [1.755 0.006 0.006 0.005]
273 	 [1.755 0.006 0.006 0.005]
274 	 [1.755 0.006 0.006 0.006]
275 	 [1.755 0.006 0.006 0.006]
276 	 [1.755 0.006 0.006 0.005]
277 	 [1.755 0.006 0.006 0.006]
278 	 [1.755 0.006 0.006 0.005]
279 	 [1.755 0.006 0.006 0.005]
280 	 [1.755 0.006 0.006 0.007]
281 	 [1.755 0.006 0.006 0.006]
282 	 [1.755 0.006 0.006 0.006]
283 	 [1.755 0.006 0.006 0.006]
284 	 [1.755 0.006 0.006 0.006]
285 	 [1.755 0.006 0.006 0.006]
286 	 [1.755 0.006 0.006 0.005]
287 	 [1.755 0.006 0.006 0.006]
288 	 [1.755 0.006 0.006 0.006]
289 	 [1.755 0.006 0.006 0.006]
290 	 [1.755 0.006 0.006 0.009]
291 	 [1.755 0.006 0.006 0.007]
292 	 [1.755 0.006 0.006 0.005]
293 	 [1.755 0.006 0.006 0.006]
294 	 [1.755 0.006 0.006 0.007]
295 	 [1.755 0.006 0.006 0.007]
296 	 [1.755 0.006 0.006 0.008]
297 	 [1.755 0.006 0.006 0.011]
298 	 [1.755 0.006 0.006 0.005]
299 	 [1.755 0.006 0.006 0.006]
300 	 [1.755 0.006 0.006 0.005]
301 	 [1.755 0.006 0.006 0.007]
302 	 [1.755 0.006 0.006 0.006]
303 	 [1.755 0.006 0.006 0.005]
304 	 [1.755 0.006 0.006 0.005]
305 	 [1.755 0.006 0.006 0.005]
306 	 [1.755 0.006 0.006 0.007]
307 	 [1.755 0.006 0.006 0.005]
308 	 [1.755 0.006 0.006 0.006]
309 	 [1.755 0.006 0.006 0.006]
310 	 [1.755 0.006 0.006 0.005]
311 	 [1.755 0.006 0.006 0.005]
312 	 [1.755 0.006 0.006 0.006]
313 	 [1.755 0.006 0.006 0.006]
314 	 [1.755 0.006 0.006 0.008]
315 	 [1.755 0.006 0.006 0.005]
316 	 [1.755 0.006 0.006 0.005]
317 	 [1.755 0.006 0.006 0.005]
318 	 [1.755 0.006 0.006 0.006]
319 	 [1.755 0.006 0.006 0.005]
320 	 [1.755 0.006 0.006 0.006]
321 	 [1.755 0.006 0.006 0.006]
322 	 [1.755 0.006 0.006 0.006]
323 	 [1.755 0.006 0.006 0.006]
324 	 [1.755 0.006 0.006 0.006]
325 	 [1.755 0.006 0.006 0.007]
326 	 [1.755 0.006 0.006 0.005]
